VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
UAV1	1649991496075	0.226714	-5.54323e-08	21.6481	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496450426000.png
UAV1	1649991496174	0.226714	-5.54323e-08	21.6127	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496550071000.png
UAV1	1649991496276	0.226714	-5.54323e-08	21.5209	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496650309400.png
UAV1	1649991496363	0.226714	-5.54323e-08	21.4313	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496738310800.png
UAV1	1649991496480	0.226714	-5.54323e-08	21.3094	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496855497500.png
UAV1	1649991496585	0.226714	-5.54323e-08	21.2003	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496960212100.png
UAV1	1649991496678	0.226714	-5.54323e-08	21.1041	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497054669000.png
UAV1	1649991496786	0.226714	-5.54323e-08	20.9927	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497162481900.png
UAV1	1649991496897	0.226714	-5.54323e-08	20.8787	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497271891900.png
UAV1	1649991496993	0.226714	-5.54323e-08	20.7804	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497370328900.png
UAV1	1649991497095	0.226714	-5.54323e-08	20.6763	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497472103000.png
UAV1	1649991497206	0.226714	-5.54323e-08	20.5632	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497583143500.png
UAV1	1649991497302	0.226714	-5.54323e-08	20.4657	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497679749800.png
UAV1	1649991497398	0.226714	-5.54323e-08	20.3683	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497776544300.png
UAV1	1649991497497	0.226714	-5.54323e-08	20.2681	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497874471500.png
UAV1	1649991497608	0.226714	-5.54323e-08	20.1559	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991497984743800.png
UAV1	1649991497704	0.226714	-5.54323e-08	20.059	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991498083372800.png
UAV1	1649991497806	0.226714	-5.54323e-08	19.9561	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991498183528900.png
UAV1	1649991497920	0.226714	-5.54323e-08	19.8414	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991498297171500.png
UAV1	1649991498016	0.226714	-5.54323e-08	19.7448	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991498394671800.png
UAV1	1649991498112	0.226714	-5.54323e-08	19.6484	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991498491420900.png
UAV1	1649991498208	0.226714	-5.54323e-08	19.552	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991498588000600.png
UAV1	1649991498322	0.226714	-5.54323e-08	19.4376	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991498700481900.png
UAV1	1649991498421	0.226714	-5.54323e-08	19.3384	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991498799467900.png
UAV1	1649991498517	0.226714	-5.54323e-08	19.2422	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991498896556300.png
UAV1	1649991498628	0.226714	-5.54323e-08	19.131	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499007532100.png
UAV1	1649991498727	0.226714	-5.54323e-08	19.0319	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499107965700.png
UAV1	1649991498826	0.226714	-5.54323e-08	18.9329	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499206854900.png
UAV1	1649991498925	0.226714	-5.54323e-08	18.8339	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499306345000.png
UAV1	1649991499036	0.226714	-5.54323e-08	18.7229	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499418512400.png
UAV1	1649991499135	0.226714	-5.54323e-08	18.624	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499517098700.png
UAV1	1649991499234	0.226714	-5.54323e-08	18.5251	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499616946600.png
UAV1	1649991499333	0.226714	-5.54323e-08	18.4262	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499716343400.png
UAV1	1649991499435	0.226714	-5.54323e-08	18.3243	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499817327600.png
UAV1	1649991499546	0.226714	-5.54323e-08	18.2135	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991499929556500.png
UAV1	1649991499645	0.226714	-5.54323e-08	18.1147	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500027946200.png
UAV1	1649991499747	0.226714	-5.54323e-08	18.0128	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500129283800.png
UAV1	1649991499846	0.226714	-5.54323e-08	17.914	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500228739700.png
UAV1	1649991499948	0.226714	-5.54323e-08	17.8123	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500329818000.png
UAV1	1649991500059	0.226714	-5.54323e-08	17.7015	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500443637400.png
